DIM,Pytorch Native,Torch.compile,My triton,My Torch
1024.000000,714.045622,717.220268,721.166431,126.182425
1536.000000,726.160678,667.033071,988.600875,98.175144
2048.000000,746.317444,730.714991,914.190059,88.132296
2560.000000,733.680388,714.288827,874.396261,86.716505
3072.000000,735.326792,735.326792,849.967034,86.106475
3584.000000,736.655127,746.241532,845.236297,85.926715
4096.000000,746.251036,746.051943,825.975578,85.732766
4608.000000,742.150364,741.916981,816.506662,85.601147
5120.000000,745.786631,745.892708,812.345859,85.481507
5632.000000,739.665000,749.080122,806.314984,85.547253
6144.000000,745.609820,751.308338,806.803819,85.531714
6656.000000,745.541876,748.160704,801.663607,85.584608
7168.000000,740.968268,750.361037,802.540104,85.566111
7680.000000,740.938365,750.269019,798.732480,85.702985
8192.000000,732.821505,753.625745,797.547788,86.070552
